Code,Invite Link,Campaign,Segment,Tier,Status,Assigned To,Assigned Email,Sent Date,Redeemed Date,Expires At,Notes
"PERSONAL-JCJF-YCDW","https://instaskul.com/beta/join?code=PERSONAL-JCJF-YCDW","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-M4XN-DAQW","https://instaskul.com/beta/join?code=PERSONAL-M4XN-DAQW","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-VVG6-SV7V","https://instaskul.com/beta/join?code=PERSONAL-VVG6-SV7V","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-8UUW-CT48","https://instaskul.com/beta/join?code=PERSONAL-8UUW-CT48","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-4HTU-HGMR","https://instaskul.com/beta/join?code=PERSONAL-4HTU-HGMR","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-DKKY-2RC8","https://instaskul.com/beta/join?code=PERSONAL-DKKY-2RC8","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-FXA5-82ZJ","https://instaskul.com/beta/join?code=PERSONAL-FXA5-82ZJ","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-4GWT-TFA4","https://instaskul.com/beta/join?code=PERSONAL-4GWT-TFA4","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-68YH-B855","https://instaskul.com/beta/join?code=PERSONAL-68YH-B855","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-FPNC-ECN7","https://instaskul.com/beta/join?code=PERSONAL-FPNC-ECN7","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-G52D-95FN","https://instaskul.com/beta/join?code=PERSONAL-G52D-95FN","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-Q85V-FRNN","https://instaskul.com/beta/join?code=PERSONAL-Q85V-FRNN","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-K7S7-PC8G","https://instaskul.com/beta/join?code=PERSONAL-K7S7-PC8G","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-XU3E-YAU6","https://instaskul.com/beta/join?code=PERSONAL-XU3E-YAU6","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-7AN2-76JY","https://instaskul.com/beta/join?code=PERSONAL-7AN2-76JY","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-VBN9-ULLT","https://instaskul.com/beta/join?code=PERSONAL-VBN9-ULLT","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-G368-FHF8","https://instaskul.com/beta/join?code=PERSONAL-G368-FHF8","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-MZP6-PHPD","https://instaskul.com/beta/join?code=PERSONAL-MZP6-PHPD","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-T2SS-WTPK","https://instaskul.com/beta/join?code=PERSONAL-T2SS-WTPK","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"PERSONAL-FZCZ-LWTA","https://instaskul.com/beta/join?code=PERSONAL-FZCZ-LWTA","PERSONAL_EMAIL","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"TWITTER-7VUB-TVKN","https://instaskul.com/beta/join?code=TWITTER-7VUB-TVKN","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-RTNJ-DWZ7","https://instaskul.com/beta/join?code=TWITTER-RTNJ-DWZ7","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-KXGX-LQ2S","https://instaskul.com/beta/join?code=TWITTER-KXGX-LQ2S","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-54Z2-UPEU","https://instaskul.com/beta/join?code=TWITTER-54Z2-UPEU","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-7XPS-MDXZ","https://instaskul.com/beta/join?code=TWITTER-7XPS-MDXZ","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-UFK2-R9A3","https://instaskul.com/beta/join?code=TWITTER-UFK2-R9A3","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-Y5WH-AV6J","https://instaskul.com/beta/join?code=TWITTER-Y5WH-AV6J","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-SFK8-QZNK","https://instaskul.com/beta/join?code=TWITTER-SFK8-QZNK","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-TX7W-WU3V","https://instaskul.com/beta/join?code=TWITTER-TX7W-WU3V","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-KMG9-Z3KN","https://instaskul.com/beta/join?code=TWITTER-KMG9-Z3KN","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-P3MZ-DPG6","https://instaskul.com/beta/join?code=TWITTER-P3MZ-DPG6","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-BXWR-8W72","https://instaskul.com/beta/join?code=TWITTER-BXWR-8W72","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-HJRH-8YVF","https://instaskul.com/beta/join?code=TWITTER-HJRH-8YVF","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-GPU5-9YFJ","https://instaskul.com/beta/join?code=TWITTER-GPU5-9YFJ","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"TWITTER-2L5M-MD33","https://instaskul.com/beta/join?code=TWITTER-2L5M-MD33","TWITTER","STUDENT","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-E5ES-F8HA","https://instaskul.com/beta/join?code=LINKEDIN-E5ES-F8HA","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-EHY8-RKDM","https://instaskul.com/beta/join?code=LINKEDIN-EHY8-RKDM","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-F5M5-3BBG","https://instaskul.com/beta/join?code=LINKEDIN-F5M5-3BBG","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-W2LS-9BCH","https://instaskul.com/beta/join?code=LINKEDIN-W2LS-9BCH","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-UKV5-ACR4","https://instaskul.com/beta/join?code=LINKEDIN-UKV5-ACR4","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-FJAM-J62Q","https://instaskul.com/beta/join?code=LINKEDIN-FJAM-J62Q","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-SAKQ-YFL2","https://instaskul.com/beta/join?code=LINKEDIN-SAKQ-YFL2","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-SVGD-UQYX","https://instaskul.com/beta/join?code=LINKEDIN-SVGD-UQYX","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-V8Q8-T4MM","https://instaskul.com/beta/join?code=LINKEDIN-V8Q8-T4MM","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-CX2P-PJKU","https://instaskul.com/beta/join?code=LINKEDIN-CX2P-PJKU","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-N34W-BF5M","https://instaskul.com/beta/join?code=LINKEDIN-N34W-BF5M","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-LR8Z-ZW3Q","https://instaskul.com/beta/join?code=LINKEDIN-LR8Z-ZW3Q","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-G75H-ZGNX","https://instaskul.com/beta/join?code=LINKEDIN-G75H-ZGNX","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-R5SN-LKXP","https://instaskul.com/beta/join?code=LINKEDIN-R5SN-LKXP","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"LINKEDIN-JDDA-9KA2","https://instaskul.com/beta/join?code=LINKEDIN-JDDA-9KA2","LINKEDIN","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-SLVH-6MJ4","https://instaskul.com/beta/join?code=WHATSAPP-SLVH-6MJ4","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-6A52-3LPC","https://instaskul.com/beta/join?code=WHATSAPP-6A52-3LPC","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-FEK2-R7TJ","https://instaskul.com/beta/join?code=WHATSAPP-FEK2-R7TJ","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-JPZ9-VK2P","https://instaskul.com/beta/join?code=WHATSAPP-JPZ9-VK2P","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-VSAF-Y3YL","https://instaskul.com/beta/join?code=WHATSAPP-VSAF-Y3YL","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-XWZF-XXXV","https://instaskul.com/beta/join?code=WHATSAPP-XWZF-XXXV","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-QMN4-MK8H","https://instaskul.com/beta/join?code=WHATSAPP-QMN4-MK8H","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-K9GY-RULX","https://instaskul.com/beta/join?code=WHATSAPP-K9GY-RULX","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-KAG3-F8JS","https://instaskul.com/beta/join?code=WHATSAPP-KAG3-F8JS","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"WHATSAPP-U9F8-7BVT","https://instaskul.com/beta/join?code=WHATSAPP-U9F8-7BVT","WHATSAPP","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-EB2W-Q6PQ","https://instaskul.com/beta/join?code=FBGROUP-EB2W-Q6PQ","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-RJE4-QL7Y","https://instaskul.com/beta/join?code=FBGROUP-RJE4-QL7Y","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-9JVU-SY57","https://instaskul.com/beta/join?code=FBGROUP-9JVU-SY57","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-5WLC-ENWC","https://instaskul.com/beta/join?code=FBGROUP-5WLC-ENWC","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-T5K2-DL5V","https://instaskul.com/beta/join?code=FBGROUP-T5K2-DL5V","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-WCQG-RY6J","https://instaskul.com/beta/join?code=FBGROUP-WCQG-RY6J","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-CKET-2QJ3","https://instaskul.com/beta/join?code=FBGROUP-CKET-2QJ3","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-9X3P-VUAB","https://instaskul.com/beta/join?code=FBGROUP-9X3P-VUAB","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-GJRP-9T59","https://instaskul.com/beta/join?code=FBGROUP-GJRP-9T59","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-XBL8-KCQ7","https://instaskul.com/beta/join?code=FBGROUP-XBL8-KCQ7","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-78WL-NT68","https://instaskul.com/beta/join?code=FBGROUP-78WL-NT68","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-LZXL-M6AY","https://instaskul.com/beta/join?code=FBGROUP-LZXL-M6AY","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-BEEX-YY8C","https://instaskul.com/beta/join?code=FBGROUP-BEEX-YY8C","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-8LPT-WDZ4","https://instaskul.com/beta/join?code=FBGROUP-8LPT-WDZ4","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"FBGROUP-EUF7-CB62","https://instaskul.com/beta/join?code=FBGROUP-EUF7-CB62","FACEBOOK_GROUPS","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-KRLJ-74YG","https://instaskul.com/beta/join?code=REFERRAL-KRLJ-74YG","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-D5TC-ERU5","https://instaskul.com/beta/join?code=REFERRAL-D5TC-ERU5","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-9ZHR-DLS7","https://instaskul.com/beta/join?code=REFERRAL-9ZHR-DLS7","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-4764-5E5H","https://instaskul.com/beta/join?code=REFERRAL-4764-5E5H","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
